X_Pos, Y_Pos, Theta, Action 
150,200,0,(40, 0)
158.44823779972526,198.0679882919007,331.66101694915255,(40, 0)
164.96689191062214,192.35724930789627,303.32203389830494,(0, 40)
171.2222639108753,186.35927362443527,331.66101694915255,(40, 0)
177.7409180217722,180.64853464043085,303.32203389830494,(40, 0)
180.7675268735193,172.5278801089619,274.9830508474573,(0, 40)
183.42605919422365,164.2793895160891,303.32203389830494,(40, 0)
186.45266804597077,156.15873498462017,274.9830508474573,(0, 40)
189.11120036667512,147.91024439174737,303.32203389830494,(40, 0)
192.13780921842223,139.78958986027843,274.9830508474573,(0, 40)
194.7963415391266,131.54109926740563,303.32203389830494,(0, 40)
201.05171353937976,125.54312358394466,331.66101694915255,(40, 0)
207.57036765027664,119.83238459994027,303.32203389830494,(0, 40)
213.8257396505298,113.83440891647932,331.66101694915255,(40, 0)
220.3443937614267,108.12366993247493,303.32203389830494,(0, 40)
226.59976576167986,102.12569424901397,331.66101694915255,(40, 0)
233.11841987257674,96.41495526500958,303.32203389830494,(0, 40)
239.3737918728299,90.41697958154863,331.66101694915255,(0, 40)
247.72664828815763,88.10717853690038,1.7053025658242404e-13,(40, 0)
256.1748860878829,86.1751668288011,331.6610169491527,(0, 40)
264.5277425032107,83.86536578415287,3.410605131648481e-13,(40, 0)
272.975980302936,81.93335407605362,331.6610169491529,(0, 40)
281.3288367182638,79.62355303140541,5.115907697472721e-13,(40, 0)
289.77707451798915,77.69154132330618,331.66101694915307,(0, 40)
298.1299309333169,75.381740278658,6.821210263296962e-13,(0, 40)
306.5781687330422,77.3137519867574,28.33898305084814,(40, 0)
314.93102514836994,79.62355303140575,6.794564910705958e-13,(0, 40)
323.37926294809523,81.55556473950514,28.33898305084814,(40, 0)
331.73211936342295,83.8653657841535,6.794564910705958e-13,(0, 50)
342.080747777445,86.85267553120609,35.42372881356,(40, 0)
350.08494397491313,90.17505937317537,7.0847457627125365,(0, 50)
359.98611199394554,94.41593209411732,42.50847457627185,(40, 0)
367.51942085539827,98.70016466937503,14.169491525424391,(0, 50)
376.82193388057254,104.12984062589437,49.5932203389837,(40, 0)
383.769318916449,109.31050007467299,21.25423728813624,(0, 50)
392.33112403818836,115.84606605121229,56.67796610169554,(50, 0)
400.51226759240996,122.8522789884245,21.25423728813624,(0, 50)
409.07407271414934,129.3878449649638,56.67796610169554,(50, 0)
417.25521626837093,136.39405790217603,21.25423728813624,(0, 50)
425.8170213901103,142.92962387871535,56.67796610169554,(50, 0)
433.9981649443319,149.9358368159276,21.25423728813624,(0, 50)
442.5599700660713,156.4714027924669,56.67796610169554,(50, 0)
450.7411136202929,163.47761572967914,21.25423728813624,(0, 50)
459.30291874203226,170.01318170621846,56.67796610169554,(50, 0)
467.48406229625385,177.0193946434307,21.25423728813624,(0, 40)
474.6572922413976,181.88253800087264,49.5932203389837,(40, 0)
481.60467727727405,187.06319744965128,21.25423728813624,(0, 40)
488.7779072224178,191.92634080709323,49.5932203389837,(40, 0)
